Date,Name,Close,High,Low,Open,Volume
11/20/2020,iShares $ TIPS ETF USD Acc GBP,180.655,,,,,
11/21/2020,iShares $ TIPS ETF USD Acc GBP,180.655,,,,,
11/22/2020,iShares $ TIPS ETF USD Acc GBP,180.655,,,,,
11/23/2020,iShares $ TIPS ETF USD Acc GBP,180.63,,,,,
11/24/2020,iShares $ TIPS ETF USD Acc GBP,179.79,,,,,
11/25/2020,iShares $ TIPS ETF USD Acc GBP,179.925,,,,,
11/26/2020,iShares $ TIPS ETF USD Acc GBP,180.825,,,,,
11/27/2020,iShares $ TIPS ETF USD Acc GBP,180.955,,,,,
11/28/2020,iShares $ TIPS ETF USD Acc GBP,180.955,,,,,
11/29/2020,iShares $ TIPS ETF USD Acc GBP,180.955,,,,,
11/30/2020,iShares $ TIPS ETF USD Acc GBP,181.125,,,,,
12/01/2020,iShares $ TIPS ETF USD Acc GBP,179.94,,,,,
12/02/2020,iShares $ TIPS ETF USD Acc GBP,180.71,,,,,
12/03/2020,iShares $ TIPS ETF USD Acc GBP,179.06,,,,,
12/04/2020,iShares $ TIPS ETF USD Acc GBP,179.06,,,,,
12/05/2020,iShares $ TIPS ETF USD Acc GBP,179.06,,,,,
12/06/2020,iShares $ TIPS ETF USD Acc GBP,179.06,,,,,
12/07/2020,iShares $ TIPS ETF USD Acc GBP,181.435,,,,,
12/08/2020,iShares $ TIPS ETF USD Acc GBP,181.525,,,,,
12/09/2020,iShares $ TIPS ETF USD Acc GBP,181.115,,,,,
12/10/2020,iShares $ TIPS ETF USD Acc GBP,182.585,,,,,
12/11/2020,iShares $ TIPS ETF USD Acc GBP,183.69,,,,,
12/12/2020,iShares $ TIPS ETF USD Acc GBP,183.69,,,,,
12/13/2020,iShares $ TIPS ETF USD Acc GBP,183.69,,,,,
12/14/2020,iShares $ TIPS ETF USD Acc GBP,182.105,,,,,
12/15/2020,iShares $ TIPS ETF USD Acc GBP,181.2,,,,,
12/16/2020,iShares $ TIPS ETF USD Acc GBP,180.235,,,,,
12/17/2020,iShares $ TIPS ETF USD Acc GBP,179.215,,,,,
12/18/2020,iShares $ TIPS ETF USD Acc GBP,180.31,,,,,
12/19/2020,iShares $ TIPS ETF USD Acc GBP,180.31,,,,,
12/20/2020,iShares $ TIPS ETF USD Acc GBP,180.31,,,,,
12/21/2020,iShares $ TIPS ETF USD Acc GBP,182.395,,,,,
12/22/2020,iShares $ TIPS ETF USD Acc GBP,182.355,,,,,
